rerata_durasi_akses_materi,durasi_berlatih,nilai,kelulusan,kepercayaan_pakar
590,452,75,1,65
521,790,77,1,78
532,1306,77.78,1,80
415,1679,77.78,1,78
596,1072,77.78,1,80
502,1177,77.78,1,80
453,1027,83.33,1,89
454,752,83.33,1,86
690,1141,83.33,1,93
493,1006,83.33,1,90
358,869,83.33,1,82
521,703,83.33,1,82
538,1137,83.33,1,90
550,621,83.33,1,78
387,530,83.33,1,65
540,570,83.33,1,70
516,615,83.33,1,78
563,717,83.33,1,82
518,808,83.33,1,88
544,1916,83.33,1,90
413,1647,83.33,1,90
533,1508,83.33,1,94
426,1074,88.89,1,90
528,1402,88.89,1,90
338,1629,88.89,1,88
388,496,88.89,1,80
460,2270,88.89,1,95
517,1226,100,1,100
599,415,100,1,75
460,618,100,1,80
331,367,100,1,75
493,985,100,1,95
354,572,100,1,80
354,613,100,1,80
454,545,100,1,80
301,809,100,1,90
369,497,100,1,80
438,860,100,1,90
437,483,100,1,80
459,1947,100,1,100
459,868,100,1,95
380,444,100,1,75
444,478,100,1,77
425,548,100,1,80
580,1034,100,1,95
488,1820,100,1,100
521,747,100,1,90
497,942,100,1,90
456,598,100,1,80
476,1119,0,0,95
501,1163,0,0,95
565,592,0,0,100
370,832,16.67,0,100
431,1056,33.33,0,90
529,393,33.33,0,95
530,629,33.33,0,93
470,570,33.33,0,93
357,700,44.44,0,92
402,1139,50,0,70
558,524,50,0,90
362,907,50,0,75
331,190,50,0,95
550,180,50,0,95
364,1018,66.67,0,50
584,1033,66.67,0,50
324,530,66.67,0,85
503,260,66.67,0,90
300,186,66.67,0,90
339,663,66.67,0,75
572,824,66.67,0,70
592,1011,66.67,0,65
301,184,66.67,0,95
136,253,66.67,0,100
383,1198,66.67,0,60
574,695,66.67,0,75
366,390,66.67,0,90
420,489,66.67,0,80
599,820,66.67,0,70
551,355,66.67,0,88
361,290,66.67,0,95
486,1517,66.67,0,55
356,329,66.67,0,90
300,226,66.67,0,95
338,389,66.67,0,90
343,162,66.67,0,98
510,218,66.67,0,95
341,1624,66.67,0,65
552,295,66.67,0,95
393,3060,70,0,70
109,532,77,0,65
356,201,77.78,0,78
512,173,77.78,0,80
303,6925,80,0,70
337,379,83.33,0,55
535,177,83.33,0,80
342,167,83.33,0,80
253,330,83.33,0,78
458,234,83.33,0,80
495,345,83.33,0,80
205,7031,95,0,65
527,7169,95,0,50
281,146,100,0,75
455,136,100,0,70
376,132,100,0,75
120,121,100,0,80
229,186,100,0,78
110,178,100,0,80
